emision energy,2460.00 eV,2469.50 eV,2471.00 eV,2472.00 eV
2443.8385816166488,2,2,2,3
2444.0394742809335,1,1,1,1
2444.2403669452183,8,6,10,10
2444.441259609503,0,1,2,2
2444.6421522737883,0,0,1,3
2444.843044938073,1,1,1,3
2445.043937602358,1,1,2,1
2445.2448302666426,0,1,1,0
2445.4457229309273,1,0,2,3
2445.646615595212,0,0,2,1
2445.847508259497,0,1,3,1
2446.0484009237816,0,0,3,0
2446.249293588067,5,3,3,5
2446.4501862523516,1,0,6,0
2446.6510789166364,0,5,1,5
2446.851971580921,1,5,0,3
2447.052864245206,3,2,5,6
2447.2537569094907,2,4,8,3
2447.4546495737754,2,4,7,10
2447.65554223806,4,5,9,7
2447.8564349023454,2,4,7,6
2448.05732756663,0,2,9,5
2448.258220230915,0,2,7,3
2448.4591128951997,0,6,5,7
2448.6600055594845,2,5,6,8
2448.8608982237693,2,2,7,4
2449.061790888054,3,8,6,8
2449.262683552339,1,11,9,9
2449.463576216624,4,7,7,4
2449.6644688809088,0,10,6,5
2449.8653615451935,0,13,8,10
2450.0662542094783,2,3,10,9
2450.267146873763,2,5,12,10
2450.468039538048,2,3,16,12
2450.6689322023326,4,5,11,5
2450.8698248666174,2,5,9,14
2451.0707175309026,3,10,4,6
2451.2716101951873,2,2,10,4
2451.472502859472,2,6,15,13
2451.673395523757,1,8,6,9
2451.8742881880416,3,8,7,10
2452.0751808523264,4,2,6,8
2452.276073516611,4,4,12,17
2452.4769661808964,1,7,6,12
2452.677858845181,6,8,12,9
2452.878751509466,2,4,7,13
2453.0796441737507,1,6,15,13
2453.2805368380355,0,7,8,12
2453.48142950232,7,9,13,17
2453.682322166605,2,5,13,8
2453.8832148308898,3,7,13,11
2454.084107495175,8,7,12,14
2454.2850001594597,7,12,15,10
2454.4858928237445,2,6,11,19
2454.6867854880293,6,9,24,15
2454.887678152314,2,13,9,12
2455.088570816599,12,11,10,16
2455.2894634808836,2,10,10,11
2455.4903561451683,7,7,18,6
2455.6912488094536,2,9,17,8
2455.8921414737383,3,13,20,15
2456.093034138023,3,13,9,12
2456.293926802308,2,8,16,14
2456.4948194665926,2,8,17,15
2456.6957121308774,4,9,14,11
2456.896604795162,2,9,14,20
2457.097497459447,2,13,22,20
2457.298390123732,5,18,21,20
2457.499282788017,3,7,23,17
2457.7001754523017,4,11,10,17
2457.9010681165864,2,17,21,18
2458.101960780871,7,16,19,17
2458.302853445156,8,15,20,21
2458.5037461094407,12,21,22,23
2458.704638773726,11,21,17,24
2458.9055314380107,26,13,19,18
2459.1064241022955,45,14,25,24
2459.3073167665802,107,28,20,25
2459.508209430865,173,37,27,24
2459.70910209515,243,35,29,34
2459.9099947594345,318,36,30,25
2460.1108874237193,303,34,40,29
2460.3117800880045,165,29,41,29
2460.5126727522893,89,46,41,32
2460.713565416574,58,35,47,37
2460.914458080859,41,38,62,50
2461.1153507451436,17,44,82,67
2461.3162434094284,9,53,78,37
2461.517136073713,7,43,96,57
2461.718028737998,9,42,99,61
2461.918921402283,7,53,110,71
2462.119814066568,9,48,107,97
2462.3207067308526,4,46,140,109
2462.5215993951374,4,61,131,114
2462.722492059422,4,42,124,114
2462.923384723707,2,54,115,129
2463.1242773879917,5,52,149,137
2463.3251700522765,4,54,160,151
2463.5260627165617,5,55,170,175
2463.7269553808464,8,66,160,154
2463.927848045131,7,69,151,159
2464.128740709416,7,82,127,159
2464.3296333737007,4,82,110,155
2464.5305260379855,7,88,104,154
2464.7314187022703,6,88,124,146
2464.932311366555,5,105,121,138
2465.1332040308403,13,98,148,128
2465.334096695125,8,78,162,117
2465.53498935941,1,71,186,138
2465.7358820236946,5,47,220,145
2465.9367746879793,4,49,225,165
2466.137667352264,6,27,234,184
2466.338560016549,8,28,268,204
2466.539452680834,8,19,265,216
2466.740345345119,6,13,286,246
2466.9412380094036,7,12,288,256
2467.1421306736884,11,11,209,271
2467.343023337973,6,6,181,267
2467.543916002258,6,8,122,253
2467.7448086665427,7,11,89,188
2467.9457013308274,5,11,48,171
2468.1465939951127,6,16,41,153
2468.3474866593974,7,17,22,88
2468.548379323682,14,53,17,82
2468.749271987967,11,90,16,58
2468.9501646522517,4,155,5,23
2469.1510573165365,13,222,14,20
2469.3519499808212,8,292,13,7
2469.552842645106,7,286,17,19
2469.7537353093912,6,190,18,14
2469.954627973676,3,86,57,17
2470.1555206379608,6,36,91,11
2470.3564133022455,4,19,116,11
2470.5573059665303,4,15,159,13
2470.758198630815,6,14,243,25
2470.9590912951,3,8,291,33
2471.1599839593846,2,7,181,88
2471.36087662367,3,9,112,120
2471.5617692879546,2,5,49,172
2471.7626619522393,3,6,36,260
2471.963554616524,2,3,19,261
2472.164447280809,1,10,19,183
2472.3653399450936,2,4,16,90
2472.5662326093784,1,5,10,58
2472.7671252736636,2,3,10,39
2472.9680179379484,3,4,6,22
2473.168910602233,3,4,7,13
2473.369803266518,3,8,4,17
2473.5706959308027,4,7,6,15
2473.7715885950875,1,4,4,11
2473.972481259372,0,6,7,5
2474.173373923657,0,5,9,11
2474.374266587942,3,8,2,8
2474.575159252227,0,8,6,6
2474.7760519165117,0,10,6,5
2474.9769445807965,2,11,9,6
2475.1778372450813,0,11,10,7
2475.378729909366,1,11,14,8
2475.579622573651,0,19,10,9
2475.7805152379356,1,5,10,10
2475.981407902221,1,11,5,6
2476.1823005665055,4,8,14,11
2476.3831932307903,2,10,13,9
2476.584085895075,0,9,13,10
2476.78497855936,1,6,15,7
2476.9858712236446,3,8,21,11
2477.1867638879294,3,7,17,16
2477.387656552214,0,4,19,15
2477.5885492164994,2,8,12,13
2477.789441880784,0,8,13,15
2477.990334545069,0,5,10,9
2478.1912272093537,0,3,8,14
2478.3921198736384,0,2,6,9
2478.593012537923,1,3,14,14
2478.793905202208,0,3,2,9
2478.9947978664927,0,0,7,11
2479.195690530778,1,6,12,11
2479.3965831950627,0,1,8,11
2479.5974758593475,1,4,5,5
2479.7983685236322,0,1,3,1
2479.999261187917,0,2,4,5
2480.2001538522018,0,4,5,2
2480.4010465164865,3,1,1,4
2480.6019391807718,0,1,1,5
2480.8028318450565,1,2,3,3
2481.0037245093413,1,0,4,1
2481.204617173626,0,3,5,4
2481.405509837911,0,3,8,4
2481.6064025021956,1,2,5,0
2481.8072951664803,1,5,2,4
2482.008187830765,0,1,1,3
2482.2090804950503,0,1,4,1
2482.409973159335,1,2,2,1
2482.61086582362,0,1,3,2
2482.8117584879046,1,3,7,4
