incident_energy,raw_xas,cleaned_xas
2450.002896905791,1550,284
2450.100634152391,1565,271
2450.202687935661,1599,338
2450.3006515747684,1539,283
2450.403324341785,1515,284
2450.5009277883646,1500,318
2450.600698351668,1452,251
2450.7008759742653,1583,317
2450.8006780210253,1555,271
2450.900887255658,1480,310
2451.0034615462982,1505,270
2451.1009616529636,1466,268
2451.2008266972116,1468,271
2451.3010991866167,1439,252
2451.403934117087,1459,250
2451.5007121113536,1393,318
2451.600836054027,1430,270
2451.7011717772207,1341,231
2451.804071557678,1450,280
2451.901106627941,1425,266
2452.00109766612,1462,268
2452.101104449571,1425,268
2452.20112698084,1403,254
2452.301165262473,1419,253
2452.401023097221,1403,272
2452.5010928563283,1370,283
2452.6011783734384,1434,292
2452.701279651099,1397,219
2452.80139669186,1454,284
2452.9011367898047,1367,223
2453.0040346998294,1422,280
2453.101056754175,1360,291
2453.201040302326,1408,305
2453.3008430868917,1439,242
2453.401054543247,1441,278
2453.5010852410946,1439,292
2453.60093509032,1422,255
2453.701193804263,1398,274
2453.801075042603,1461,262
2453.9009719484598,1362,295
2454.0008845243624,1387,250
2454.1010094974454,1403,273
2454.2011502074083,1417,255
2454.301109870342,1428,260
2454.4008883961847,1396,268
2454.5010762392494,1414,284
2454.60088607127,1399,247
2454.701105349081,1463,237
2454.8011434381724,1399,253
2454.901000248411,1400,259
2455.0010696947916,1436,276
2455.1009578056405,1416,230
2455.201058619427,1405,226
2455.3013722314136,1419,297
2455.401110232298,1517,332
2455.5012581316346,1404,289
2455.601027365802,1377,267
2455.701403845696,1511,272
2455.801204354035,1458,298
2455.901415018008,1454,254
2456.001049468433,1440,220
2456.101291483485,1392,298
2456.201154477951,1449,280
2456.3010330771135,1421,260
2456.4011247183194,1444,248
2456.501034565265,1443,286
2456.601157521055,1466,222
2456.7050491879786,1411,245
2456.801252906328,1464,273
2456.901027689801,1436,269
2457.0014108943187,1461,223
2457.1049722750295,1399,302
2457.201236141216,1471,275
2457.3010733055016,1448,287
2457.401123784072,1384,264
2457.5013876721378,1420,297
2457.601073842976,1383,236
2457.701369039239,1468,292
2457.801284205242,1441,284
2457.901412852575,1473,283
2458.0013592183445,1420,325
2458.1013211723316,1460,324
2458.201298717045,1405,300
2458.3010938333696,1390,272
2458.4013005886873,1445,328
2458.5011268372373,1427,307
2458.601364853352,1455,298
2458.701420389347,1416,321
2458.8012933550335,1440,303
2458.9013800742123,1454,295
2459.001085928539,1412,258
2459.101402078739,1457,309
2459.201337307327,1490,305
2459.3010897620143,1478,328
2459.4012544366633,1467,271
2459.501037950209,1407,297
2459.601233812226,1511,367
2459.7010483946196,1463,312
2459.801275454036,1466,322
2459.9011211152724,1526,300
2460.0011808354498,1444,332
2460.101057554682,1532,297
2460.201148399603,1538,346
2460.301056186814,1496,342
2460.4011781664844,1417,341
2460.5009183306456,1518,318
2460.6010714241434,1516,335
2460.701041346412,1483,364
2460.8014243884513,1603,340
2460.9010277903017,1515,298
2461.0010443169144,1552,316
2461.101076383301,1539,309
2461.201322909247,1564,367
2461.3013860935816,1548,340
2461.4010668670367,1503,354
2461.5013600965444,1563,364
2461.6012708583908,1546,341
2461.700998041526,1595,359
2461.8013379661147,1559,338
2461.901295245222,1565,378
2462.001268024772,1641,370
2462.10125630725,1713,434
2462.2012600951457,1636,338
2462.3012793909497,1634,381
2462.401314197149,1633,327
2462.50116519739,1703,386
2462.601430350702,1707,394
2462.7009135612107,1665,333
2462.801209752617,1676,372
2462.9011226439297,1657,389
2463.001050998784,1667,380
2463.1011943237913,1635,373
2463.201153644045,1767,390
2463.3011284352847,1624,365
2463.401118699991,1709,371
2463.501523696177,1720,380
2463.6011456597334,1776,426
2463.7013820492684,1724,395
2463.8016339840774,1753,370
2463.901302212412,1725,413
2464.0013853700584,1789,397
2464.101084392354,1898,402
2464.2013983163324,1947,443
2464.3013280481305,1886,458
2464.4012732164224,1901,380
2464.501633697114,1921,426
2464.6016098075834,2008,457
2464.7016013619777,1958,391
2464.8012083039944,1952,434
2464.901430752119,1950,409
2465.0010684399685,1928,458
2465.1013218240932,1951,456
2465.2011904204865,2006,464
2465.301074413873,2076,535
2465.4061794076406,2060,469
2465.5012890925746,2112,527
2465.601419629984,2046,527
2465.701165021232,2010,498
2465.8013264365923,2111,513
2465.901302956361,2222,577
2466.0010944903424,2035,536
2466.1013022411657,2127,558
2466.2013250111368,2095,578
2466.3013632027796,2209,644
2466.4012162948898,2081,599
2466.501084751838,2161,589
2466.601369746921,2232,660
2466.7012690026454,2206,595
2466.801384277836,2259,653
2466.9011136332037,2212,683
2467.0012597219593,2272,786
2467.1014212521404,2400,723
2467.201397455316,2231,737
2467.301389043015,2449,862
2467.401596850397,2365,819
2467.5014183818244,2370,869
2467.6010543490142,2442,832
2467.7013083628926,2465,939
2467.801175922983,2514,988
2467.9010588205774,2507,1012
2468.00115807608,2603,1093
2468.100870638077,2537,1009
2468.201402802185,2719,1094
2468.301146056233,2700,1120
2468.401105739877,2758,1233
2468.5010807757426,2646,1189
2468.6010711662807,2846,1345
2468.7012781482376,2944,1408
2468.8010980211943,3016,1497
2468.9013357865883,2926,1573
2469.001186324256,3080,1674
2469.101052167095,3329,1966
2469.2013360951114,3423,1975
2469.301434037105,3397,2101
2469.401345902737,3613,2154
2469.5010716018282,3681,2356
2469.605648869506,3947,2707
2469.701374942495,3961,2789
2469.801146539294,4358,3059
2469.9015382144853,4304,3177
2470.0015420683517,4658,3509
2470.1015612518618,4884,3808
2470.201394069546,5237,4182
2470.3016456176047,5584,4558
2470.4013072852767,6042,4990
2470.5013877499878,6299,5445
2470.6012817350797,6284,5376
2470.7011910026877,6573,5739
2470.8011155552467,6833,5964
2470.9012573093364,7133,6271
2471.001414415098,7047,6163
2471.1013848989314,7252,6336
2471.2013706774796,7419,6299
2471.301371753182,7464,6556
2471.401186059771,7545,6564
2471.506068114395,7354,6301
2471.6010625265953,7384,6315
2471.701124753474,7579,6554
2471.801202289703,7675,6571
2471.9010929145174,7564,6471
2472.001201045841,7596,6437
2472.1013244938435,7663,6527
2472.2010586290644,7650,6514
