emited_energy,intensity
2450.0,52
2450.1,57
2450.2,51
2450.3,67
2450.4,66
2450.5,65
2450.6,55
2450.7,59
2450.8,63
2450.9,79
2451.0,56
2451.1,67
2451.2,57
2451.3,61
2451.4,56
2451.5,77
2451.6,65
2451.7,69
2451.8,58
2451.9,52
2452.0,63
2452.1,75
2452.2,65
2452.3,72
2452.4,60
2452.5,74
2452.6,62
2452.7,55
2452.8,65
2452.9,75
2453.0,76
2453.1,64
2453.2,71
2453.3,50
2453.4,51
2453.5,73
2453.6,66
2453.7,64
2453.8,63
2453.9,84
2454.0,72
2454.1,76
2454.2,54
2454.3,67
2454.4,71
2454.5,90
2454.6,68
2454.7,73
2454.8,76
2454.9,75
2455.0,73
2455.1,64
2455.2,80
2455.3,75
2455.4,73
2455.5,81
2455.6,69
2455.7,75
2455.8,62
2455.9,73
2456.0,73
2456.1,65
2456.2,73
2456.3,70
2456.4,63
2456.5,82
2456.6,80
2456.7,84
2456.8,75
2456.9,74
2457.0,78
2457.1,73
2457.2,71
2457.3,86
2457.4,91
2457.5,69
2457.6,91
2457.7,81
2457.8,85
2457.9,82
2458.0,91
2458.1,73
2458.2,84
2458.3,103
2458.4,85
2458.5,93
2458.6,100
2458.7,101
2458.8,106
2458.9,93
2459.0,77
2459.1,91
2459.2,103
2459.3,107
2459.4,98
2459.5,117
2459.6,134
2459.7,112
2459.8,106
2459.9,101
2460.0,110
2460.1,100
2460.2,120
2460.3,114
2460.4,129
2460.5,118
2460.6,125
2460.7,103
2460.8,127
2460.9,115
2461.0,126
2461.1,114
2461.2,133
2461.3,108
2461.4,135
2461.5,130
2461.6,135
2461.7,133
2461.8,132
2461.9,139
2462.0,136
2462.1,138
2462.2,155
2462.3,156
2462.4,153
2462.5,155
2462.6,144
2462.7,186
2462.8,157
2462.9,156
2463.0,175
2463.1,183
2463.2,179
2463.3,163
2463.4,183
2463.5,177
2463.6,184
2463.7,204
2463.8,201
2463.9,211
2464.0,214
2464.1,210
2464.2,213
2464.3,238
2464.4,207
2464.5,212
2464.6,251
2464.7,247
2464.8,278
2464.9,254
2465.0,278
2465.1,241
2465.2,266
2465.3,252
2465.4,285
2465.5,298
2465.6,305
2465.7,305
2465.8,301
2465.9,317
2466.0,341
2466.1,316
2466.2,364
2466.3,369
2466.4,400
2466.5,365
2466.6,409
2466.7,436
2466.8,449
2466.9,444
2467.0,473
2467.1,503
2467.2,511
2467.3,499
2467.4,629
2467.5,559
2467.6,588
2467.7,639
2467.8,661
2467.9,658
2468.0,616
2468.1,737
2468.2,761
2468.3,803
2468.4,860
2468.5,836
2468.6,975
2468.7,1036
2468.8,1119
2468.9,1136
2469.0,1261
2469.1,1225
2469.2,1358
2469.3,1514
2469.4,1556
2469.5,1649
2469.6,1868
2469.7,1879
2469.8,2018
2469.9,2213
2470.0,2415
2470.1,2619
2470.2,2846
2470.3,3040
2470.4,3345
2470.5,3390
2470.6,3405
2470.7,3760
2470.8,3957
2470.9,3912
2471.0,4127
2471.1,4003
2471.2,4152
2471.3,4314
2471.4,4176
2471.5,4250
2471.6,4197
2471.7,4272
2471.8,4186
2471.9,4178
2472.0,4103
2472.1,4181
2472.2,4225
2472.3,4018
2472.4,3966
2472.5,3895
2472.6,3925
2472.7,4014
2472.8,3815
2472.9,3948
2473.0,3888
2473.1,3856
2473.2,3891
2473.3,3777
2473.4,3743
2473.5,3787
2473.6,3678
2473.7,3579
2473.8,3576
2473.9,3494
2474.0,3368
2474.1,3375
2474.2,3348
2474.3,3337
2474.4,3220
2474.5,3208
2474.6,3161
2474.7,3044
2474.8,2966
